Brown Stained Glass,mcl_core:glass_brown
Cracked Deepslate Brick Stairs,mcl_stairs:stair_deepslate_bricks_cracked
Cracked Stone Brick Slab,mcl_stairs:slab_stonebrickcracked_double
Cracked Stone Brick Slab,mcl_stairs:slab_stonebrickcracked_top
Cod,mobs_mc:cod
Cracked Stone Brick Stairs,mcl_stairs:stair_stonebrickcracked_outer
Preview Banner,mcl_banners:banner_preview_square_bottom_left_magenta
Cracked Stone Brick Stairs,mcl_stairs:stair_stonebrickcracked
Iron Stairs,mcl_stairs:stair_ironblock_inner
Iron Stairs,mcl_stairs:stair_ironblock_outer
Blaze Rod,mcl_mobitems:blaze_rod
Leather,mcl_mobitems:leather
Ancient Debris,mcl_nether:ancient_debris
Elytra,mcl_armor:elytra
Iron Stairs,mcl_stairs:stair_ironblock
Gold Slab,mcl_stairs:slab_goldblock_double
Gold Slab,mcl_stairs:slab_goldblock_top
Gold Slab,mcl_stairs:slab_goldblock
Preview Banner,mcl_banners:banner_preview_square_top_left_magenta
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_16
Clock,mcl_clock:clock_3
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_13
Clock,mcl_clock:clock_4
Polished Tuff Stairs,mcl_stairs:stair_tuff_polished
Clock,mcl_clock:clock_5
Polished Tuff Stairs,mcl_stairs:stair_tuff_polished_outer
Clock,mcl_clock:clock_6
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_12
Clock,mcl_clock:clock_7
Mud,mcl_mud:mud
Clock,mcl_clock:clock_8
Red Terracotta Slab,mcl_stairs:slab_hardened_clay_red_double
Clock,mcl_clock:clock_9
of Fire Resistance,mcl_potions:fire_resistance
Clock,mcl_clock:clock_10
of Swiftness,mcl_potions:swiftness
Clock,mcl_clock:clock_11
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_10
Clock,mcl_clock:clock_12
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_6
Clock,mcl_clock:clock_13
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall
Clock,mcl_clock:clock_14
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_5
Clock,mcl_clock:clock_15
Black Concrete Stairs,mcl_stairs:stair_concrete_black
Polished Blackstone Button,mesecons_button:button_polished_blackstone_off
Clock,mcl_clock:clock_16
Preview Banner,mcl_banners:banner_preview_stripe_downleft_magenta
Clock,mcl_clock:clock_17
nil,mesecons_button:button_polished_blackstone_on
Clock,mcl_clock:clock_18
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_5
Clock,mcl_clock:clock_19
Preview Banner,mcl_banners:banner_preview_stripe_downright_magenta
Clock,mcl_clock:clock_20
of Slowness,mcl_potions:slowness_splash
Clock,mcl_clock:clock_21
of Weakness,mcl_potions:weakness_splash
Clock,mcl_clock:clock_22
Preview Banner,mcl_banners:banner_preview_stripe_left_magenta
Clock,mcl_clock:clock_23
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_3
Clock,mcl_clock:clock_24
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_2
Clock,mcl_clock:clock_25
Preview Banner,mcl_banners:banner_preview_stripe_middle_magenta
Clock,mcl_clock:clock_26
Tuff Bricks Slab,mcl_stairs:slab_tuff_bricks_top
Clock,mcl_clock:clock_27
nil,mcl_fences:jungle_fence_gate_open
Clock,mcl_clock:clock_28
Preview Banner,mcl_banners:banner_preview_stripe_right_magenta
Clock,mcl_clock:clock_29
of Fire Resistance,mcl_potions:fire_resistance_splash
Clock,mcl_clock:clock_30
Target,mcl_target:target_off
Clock,mcl_clock:clock_31
Preview Banner,mcl_banners:banner_preview_stripe_top_magenta
Clock,mcl_clock:clock_32
Tuff Bricks Stairs,mcl_stairs:stair_tuff_bricks_inner
Clock,mcl_clock:clock_33
Stone Pressure Plate,mesecons_pressureplates:pressure_plate_stone_off
Clock,mcl_clock:clock_34
nil,mesecons_pressureplates:pressure_plate_stone_on
Clock,mcl_clock:clock_35
nil,mcl_doors:trapdoor_cherry_blossom_open
Clock,mcl_clock:clock_36
Yellow Concrete Powder,mcl_colorblocks:concrete_powder_yellow
Polished Blackstone Pressure Plate,mesecons_pressureplates:pressure_plate_polished_blackstone_off
Preview Banner,mcl_banners:banner_preview_triangle_top_magenta
Clock,mcl_clock:clock_38
Cherry Stairs,mcl_stairs:stair_cherry_blossom
Clock,mcl_clock:clock_39
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_10
Clock,mcl_clock:clock_40
Preview Banner,mcl_banners:banner_preview_triangles_bottom_magenta
Clock,mcl_clock:clock_41
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_4
Clock,mcl_clock:clock_42
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_3
Clock,mcl_clock:clock_43
Preview Banner,mcl_banners:banner_preview_triangles_top_magenta
Clock,mcl_clock:clock_44
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_2
Clock,mcl_clock:clock_45
Dolphin,mobs_mc:dolphin
Clock,mcl_clock:clock_46
Preview Banner,mcl_banners:banner_preview_globe_magenta
Clock,mcl_clock:clock_47
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_1
Clock,mcl_clock:clock_48
Polished Tuff Wall,mcl_deepslate:tuffpolishedwall_0
nil,mcl_mushrooms:brown_mushroom_block_cap_010011
Preview Banner,mcl_banners:banner_preview_piglin_magenta
Clock,mcl_clock:clock_50
Cherry Slab,mcl_stairs:slab_cherry_blossom_double
Clock,mcl_clock:clock_51
Polished Tuff Slab,mcl_stairs:slab_tuff_polished_top
Clock,mcl_clock:clock_52
Preview Banner,mcl_banners:banner_preview_guster_magenta
Clock,mcl_clock:clock_53
Quartz Slab,mcl_stairs:slab_quartzblock_top
nil,mcl_mushrooms:brown_mushroom_block_cap_011000
Polished Tuff Stairs,mcl_stairs:stair_tuff_polished_inner
Clock,mcl_clock:clock_55
Preview Banner,mcl_banners:banner_preview_flow_magenta
Clock,mcl_clock:clock_56
Jungle Pressure Plate,mesecons_pressureplates:pressure_plate_jungle_off
nil,mcl_mushrooms:brown_mushroom_block_cap_011011
nil,mcl_villages:village_block
Clock,mcl_clock:clock_58
Raw Chicken,mcl_mobitems:chicken
nil,mcl_mushrooms:brown_mushroom_block_cap_011101
Red Nether Brick Wall,mcl_walls:rednetherbrick_21
Clock,mcl_clock:clock_60
Tuff,mcl_deepslate:tuff
nil,mcl_mushrooms:brown_mushroom_block_cap_011111
Riverwaterlogged Sponge,mcl_sponges:sponge_wet_river_water
Clock,mcl_clock:clock_62
Sponge,mcl_sponges:sponge
Clock,mcl_clock:clock_63
Chiseled Deepslate,mcl_deepslate:deepslate_chiseled
nil,mcl_mushrooms:brown_mushroom_block_cap_100010
Preview Banner,mcl_banners:banner_preview_creeper_white
nil,mcl_mushrooms:brown_mushroom_block_cap_100011
nil,mcl_mushrooms:red_mushroom_block_cap_101011
nil,mcl_mushrooms:brown_mushroom_block_cap_100100
nil,mcl_mushrooms:red_mushroom_block_cap_111100
nil,mcl_mushrooms:brown_mushroom_block_cap_100101
Sheaf Pottery Sherd,mcl_pottery_sherds:sheaf
nil,mcl_mushrooms:brown_mushroom_block_cap_100110
Enchanted Book,mcl_enchanting:book_enchanted
nil,mcl_mushrooms:brown_mushroom_block_cap_100111
Clay,mcl_core:clay
nil,mcl_mushrooms:brown_mushroom_block_cap_101000
Packed Ice,mcl_core:packed_ice
nil,mcl_mushrooms:brown_mushroom_block_cap_101001
Bone Block,mcl_core:bone_block
nil,mcl_mushrooms:brown_mushroom_block_cap_101010
Block of Iron,mcl_core:ironblock
nil,mcl_mushrooms:brown_mushroom_block_cap_101011
nil,mcl_fences:oak_fence_gate_open
nil,mcl_mushrooms:brown_mushroom_block_cap_101100
nil,mcl_mushrooms:red_mushroom_block_cap_100000
nil,mcl_mushrooms:brown_mushroom_block_cap_101101
Sandstone Slab,mcl_stairs:slab_sandstone
Grindstone,mcl_grindstone:grindstone,mesecons_torch:mesecon_torch_overheated
nil,mcl_mushrooms:brown_mushroom_block_cap_101111
nil,mcl_mushrooms:red_mushroom_block_cap_011010
nil,mcl_mushrooms:brown_mushroom_block_cap_110000
Note Block,mesecons_noteblock:noteblock
nil,mcl_mushrooms:brown_mushroom_block_cap_110001
nil,mcl_mushrooms:brown_mushroom_block_cap_010010
nil,mcl_mushrooms:brown_mushroom_block_cap_110010
nil,mcl_mushrooms:brown_mushroom_block_cap_011001
nil,mcl_mushrooms:brown_mushroom_block_cap_110011
Light Blue Shulker Box,mcl_chests:lightblue_shulker_box_small
nil,mcl_mushrooms:brown_mushroom_block_cap_110100
Light Grey Stained Glass,mcl_core:glass_silver
nil,mcl_mushrooms:brown_mushroom_block_cap_110101
Cherry Sapling Flower Pot,mcl_flowerpots:flower_pot_sapling_cherry_blossom
nil,mcl_mushrooms:brown_mushroom_block_cap_110110
Preview Banner,mcl_banners:banner_preview_triangles_top_pink
nil,mcl_mushrooms:brown_mushroom_block_cap_110111
Cherry Boat,mcl_boats:boat_cherry_blossom
Preview Banner,mcl_banners:banner_preview_curly_border_purple
White Banner,mcl_banners:banner_item_white
nil,mcl_mushrooms:brown_mushroom_block_cap_111001
Preview Banner,mcl_banners:banner_preview_bricks_white
nil,mcl_mushrooms:brown_mushroom_block_cap_111010
Purple Shulker Box,mcl_chests:violet_shulker_box
nil,mcl_mushrooms:brown_mushroom_block_cap_111011
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_purple
nil,mcl_mushrooms:brown_mushroom_block_cap_111100
Preview Banner,mcl_banners:banner_preview_circle_white
nil,mcl_mushrooms:brown_mushroom_block_cap_111101
Deepslate Tile Slab,mcl_stairs:slab_deepslate_tiles_double
nil,mcl_mushrooms:brown_mushroom_block_cap_111110
Preview Banner,mcl_banners:banner_preview_square_bottom_right_white
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_purple
nil,mcl_chests:trapped_chest_on
Preview Banner,mcl_banners:banner_preview_gradient_green
Preview Banner,mcl_banners:banner_preview_stripe_downleft_white
Preview Banner,mcl_banners:banner_preview_flow_white
Blue Banner,mcl_banners:banner_item_blue
Deepslate Tile Stairs,mcl_stairs:stair_deepslate_tiles
Preview Banner,mcl_banners:banner_preview_diagonal_right_purple
Preview Banner,mcl_banners:banner_preview_gradient_up_green
Map,mcl_maps:filled_map
Cracked Deepslate Tiles,mcl_deepslate:deepslate_tiles_cracked
Redstone Trail (11110011),mesecons:wire_11110011_off
Preview Banner,mcl_banners:banner_preview_rhombus_brown
Preview Banner,mcl_banners:banner_preview_stripe_left_brown
Preview Banner,mcl_banners:banner_preview_diagonal_left_purple
Preview Banner,mcl_banners:banner_preview_stripe_middle_brown
Ender Dragon,mobs_mc:enderdragon
Wither,mobs_mc:wither
Ghast,mobs_mc:ghast
Elder Guardian,mobs_mc:guardian_elder
Preview Banner,mcl_banners:banner_preview_half_horizontal_green
Preview Banner,mcl_banners:banner_preview_flower_purple
Preview Banner,mcl_banners:banner_preview_stripe_top_brown
Golden Helmet,mcl_armor:helmet_gold
Preview Banner,mcl_banners:banner_preview_triangle_top_brown
Preview Banner,mcl_banners:banner_preview_triangles_bottom_brown
Preview Banner,mcl_banners:banner_preview_half_vertical_green
Preview Banner,mcl_banners:banner_preview_globe_brown
Preview Banner,mcl_banners:banner_preview_gradient_purple
Red Nether Brick Fence,mcl_fences:red_nether_brick_fence
Preview Banner,mcl_banners:banner_preview_flow_brown
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_light_blue
Preview Banner,mcl_banners:banner_preview_gradient_up_light_blue
Red Nether Brick Fence Gate,mcl_fences:red_nether_brick_fence_gate
nil,mcl_fences:red_nether_brick_fence_gate_open
Preview Banner,mcl_banners:banner_preview_gradient_up_purple
Preview Banner,mcl_banners:banner_preview_stripe_downright_light_blue
Mossy Stone Brick Stairs,mcl_stairs:stair_stonebrickmossy_outer
Blue Shulker Box,mcl_chests:blue_shulker_box_small
Cyan Shulker Box,mcl_chests:cyan_shulker_box_small
Nether Brick Fence Gate,mcl_fences:nether_brick_fence_gate
Cauldron,mcl_cauldrons:cauldron
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_purple
Light Grey Shulker Box,mcl_chests:grey_shulker_box_small
Witch,mobs_mc:witch
Mud Brick Slab,mcl_stairs:slab_mud_brick
Redstone Trail (10111011),mesecons:wire_10111011_off
Cat,mobs_mc:cat
Diamond Boots,mcl_armor:boots_diamond
Preview Banner,mcl_banners:banner_preview_half_horizontal_purple
Light Grey Terracotta,mcl_colorblocks:hardened_clay_silver Cut Copper,mcl_copper:block_cut_preserved
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_21
Iron Helmet,mcl_armor:helmet_iron
nil,mcl_doors:door_jungle_t_2
Preview Banner,mcl_banners:banner_preview_half_vertical_purple
Polished Basalt,mcl_blackstone:basalt_polished
Exposed Copper Bulb On,mcl_copper:bulb_exposed_on
Waterlogged Sponge,mcl_sponges:sponge_wet
Oxidized Cut Copper Stairs,mcl_stairs:stair_copper_oxidized_cut
Polished Blackstone,mcl_blackstone:blackstone_polished
Redstone Trail (11100100),mesecons:wire_11100100_off
Preview Banner,mcl_banners:banner_preview_half_vertical_right_purple
Barrel Open,mcl_barrels:barrel_open
Villager,mobs_mc:villager
Zombie Villager,mobs_mc:villager_zombie
Upper Oxidized Cut Copper Slab,mcl_stairs:slab_copper_oxidized_cut_top
Quartz Bricks,mcl_blackstone:quartz_brick
Powered Redstone Trail (01010100),mesecons:wire_01010100_on
Preview Banner,mcl_banners:banner_preview_thing_purple
Eternal Soul Fire,mcl_blackstone:soul_fire
Oak Sapling Flower Pot,mcl_flowerpots:flower_pot_sapling_oak
Heartbreak Pottery Sherd,mcl_pottery_sherds:heartbreak
Guster Pottery Sherd,mcl_pottery_sherds:guster
Red Sand,mcl_core:redsand
Polished Deepslate Slab,mcl_stairs:slab_deepslate_polished_double
Preview Banner,mcl_banners:banner_preview_rhombus_purple
Infested Stone Bricks,mcl_monster_eggs:monster_egg_stonebrick
nil,mcl_mushrooms:brown_mushroom_block_cap_100000
Polished Deepslate Slab,mcl_stairs:slab_deepslate_polished
Polished Deepslate Stairs,mcl_stairs:stair_deepslate_polished_inner
Slime Block,mcl_core:slimeblock
Realm Barrier,mcl_core:realm_barrier
Preview Banner,mcl_banners:banner_preview_skull_purple
Obsidian,mcl_core:obsidian
Crying Obsidian,mcl_core:crying_obsidian
Ender Chest,mcl_chests:ender_chest
Ender Chest,mcl_chests:ender_chest_small
Command Block,mesecons_commandblock:commandblock_off
nil,mesecons_commandblock:commandblock_on
Preview Banner,mcl_banners:banner_preview_small_stripes_purple
Redstone Trail (11110100),mesecons:wire_11110100_off
Vindicator,mobs_mc:vindicator
Evoker,mobs_mc:evoker
Parrot,mobs_mc:parrot
End Stone Brick Stairs,mcl_stairs:stair_end_bricks_outer
Chainmail Chestplate,mcl_armor:chestplate_chain
Preview Banner,mcl_banners:banner_preview_square_bottom_left_purple
Smithing Template,mcl_armor:vex
Stone Stairs,mcl_stairs:stair_stone_rough_outer
Stone Stairs,mcl_stairs:stair_stone_rough_inner
Double Cut Copper Slab,mcl_stairs:slab_copper_cut_double
Grey Shulker Box,mcl_chests:dark_grey_shulker_box_small
Spruce Sapling,mcl_trees:sapling_spruce
Preview Banner,mcl_banners:banner_preview_square_bottom_right_purple
Diorite Stairs,mcl_stairs:stair_diorite_inner
Stone Slab,mcl_stairs:slab_stone_rough
Stone Slab,mcl_stairs:slab_stone_rough_top
Stone Slab,mcl_stairs:slab_stone_rough_double
Jungle Sapling,mcl_trees:sapling_jungle
Acacia Log,mcl_trees:tree_acacia
Preview Banner,mcl_banners:banner_preview_square_top_left_purple
Jungle Log,mcl_trees:tree_jungle
Orange Shulker Box,mcl_chests:orange_shulker_box
Gold Ingot,mcl_core:gold_ingot,mesecons_delayer:delayer_on_2
Upper Weathered Cut Copper Slab,mcl_stairs:slab_copper_weathered_cut_top_preserved
Dark Oak Leaves,mcl_trees:leaves_dark_oak_orphan
Preview Banner,mcl_banners:banner_preview_square_top_right_purple
Waxed Exposed Cut Copper Slab,mcl_stairs:slab_copper_exposed_cut_preserved
Smooth Stone Slab,mcl_stairs:slab_stone_top
Smooth Stone Slab,mcl_stairs:slab_stone_double
Diamond Sword,mcl_tools:sword_diamond
Barrel,mcl_barrels:barrel_closed
Stone Stairs,mcl_stairs:stair_stone_rough
Preview Banner,mcl_banners:banner_preview_straight_cross_purple
Nether Portal,mcl_portals:portal
Preview Banner,mcl_banners:banner_preview_triangles_bottom_orange
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_1
Wooden Axe,mcl_tools:axe_wood
Double Cut Copper Slab,mcl_stairs:slab_copper_cut_double_preserved
Flowing River Water,mclx_core:river_water_flowing
Preview Banner,mcl_banners:banner_preview_stripe_bottom_purple
Preview Banner,mcl_banners:banner_preview_triangles_top_orange
Andesite Stairs,mcl_stairs:stair_andesite_outer
Andesite Stairs,mcl_stairs:stair_andesite_inner
Cobbled Deepslate Slab,mcl_stairs:slab_deepslate_cobbled
Dead Tube Coral Fan,mcl_ocean:dead_tube_coral_fan
Powered Redstone Trail (10101010),mesecons:wire_10101010_on
Preview Banner,mcl_banners:banner_preview_stripe_center_purple
Cobbled Deepslate Stairs,mcl_stairs:stair_deepslate_cobbled
Andesite Slab,mcl_stairs:slab_andesite
Andesite Slab,mcl_stairs:slab_andesite_top
Andesite Slab,mcl_stairs:slab_andesite_double,mesecons_delayer:delayer_on_locked
Preview Banner,mcl_banners:banner_preview_piglin_orange
Preview Banner,mcl_banners:banner_preview_stripe_downleft_purple
Lever,mesecons_walllever:wall_lever_off
nil,mcl_ocean:kelp_dirt
Preview Banner,mcl_banners:banner_preview_cross_pink
Deepslate Emerald Ore,mcl_deepslate:deepslate_with_emerald
Preview Banner,mcl_banners:banner_preview_guster_orange
Light Blue Concrete,mcl_colorblocks:concrete_light_blue
Preview Banner,mcl_banners:banner_preview_stripe_downright_purple
Granite Stairs,mcl_stairs:stair_granite
Preview Banner,mcl_banners:banner_preview_curly_border_pink
Granite Stairs,mcl_stairs:stair_granite_outer
Granite Stairs,mcl_stairs:stair_granite_inner
Burning Smoker,mcl_smoker:smoker_active
Smoker,mcl_smoker:smoker
Bamboo Fence Gate,mcl_fences:bamboo_fence_gate
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_pink
Furnace,mcl_furnaces:furnace
Granite Slab,mcl_stairs:slab_granite
Granite Slab,mcl_stairs:slab_granite_top
Granite Slab,mcl_stairs:slab_granite_double
Bamboo Door,mcl_doors:door_bamboo
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_pink
Preview Banner,mcl_banners:banner_preview_border_cyan
A place to plant root crops,mcl_villages:crop_root_3
A place to plant root crops,mcl_villages:crop_root_1
of Strength,mcl_potions:strength_splash
A place to plant grain crops,mcl_villages:crop_grain_1
Preview Banner,mcl_banners:banner_preview_diagonal_right_pink
Preview Banner,mcl_banners:banner_preview_bricks_cyan
Recovery Compass,mcl_compass:27_recovery
Diorite Stairs,mcl_stairs:stair_diorite
Recovery Compass,mcl_compass:21_recovery
Diorite Stairs,mcl_stairs:stair_diorite_outer
Preview Banner,mcl_banners:banner_preview_diagonal_left_pink
Preview Banner,mcl_banners:banner_preview_circle_cyan
Recovery Compass,mcl_compass:16_recovery
nil,mcl_doors:door_bamboo_t_1
Preview Banner,mcl_banners:banner_preview_guster_yellow
Recovery Compass,mcl_compass:10_recovery
Preview Banner,mcl_banners:banner_preview_flower_pink
Diorite Slab,mcl_stairs:slab_diorite_top
Diorite Slab,mcl_stairs:slab_diorite_double
Recovery Compass,mcl_compass:9_recovery
Bamboo Trapdoor,mcl_doors:trapdoor_bamboo
nil,mcl_mushrooms:red_mushroom_block_cap_011000
Preview Banner,mcl_banners:banner_preview_gradient_pink
nil,mcl_doors:door_spruce_b_2
Brick Stairs,mcl_stairs:stair_brick_block_inner
Recovery Compass,mcl_compass:5_recovery
nil,mcl_doors:door_spruce_t_2
Smooth Sandstone Slab,mcl_stairs:slab_sandstonesmooth2
Preview Banner,mcl_banners:banner_preview_gradient_up_pink
Cobblestone Stairs,mcl_stairs:stair_cobble
Cut Sandstone Slab,mcl_stairs:slab_sandstonesmooth
Leather Cap,mcl_armor:helmet_leather
nil,mcl_doors:trapdoor_bamboo_open
Recovery Compass,mcl_compass:1_recovery
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_pink
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_cyan
nil,mcl_mushrooms:brown_mushroom_block_cap_000101
Bamboo Stairs,mcl_stairs:stair_bamboo
Lodestone Compass,mcl_compass:30_lodestone
Leather Pants,mcl_armor:leggings_leather
Preview Banner,mcl_banners:banner_preview_half_horizontal_pink
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_cyan
Golden Leggings,mcl_armor:leggings_gold
Prismarine Wall,mcl_walls:prismarine_0
Lodestone Compass,mcl_compass:27_lodestone
Spruce Stairs,mcl_stairs:stair_spruce
Preview Banner,mcl_banners:banner_preview_half_vertical_pink
Spruce Stairs,mcl_stairs:stair_spruce_outer
Spruce Stairs,mcl_stairs:stair_spruce_inner
Bamboo Bark Stairs,mcl_stairs:stair_bamboo_bark_outer
Bamboo Bark Stairs,mcl_stairs:stair_bamboo_bark_inner
Lodestone Compass,mcl_compass:24_lodestone
Preview Banner,mcl_banners:banner_preview_half_vertical_right_pink
Preview Banner,mcl_banners:banner_preview_diagonal_left_cyan
Lodestone Compass,mcl_compass:23_lodestone
Lodestone Compass,mcl_compass:22_lodestone
Unknown Item,unknown
Mangrove Bark Stairs,mcl_stairs:stair_mangrove_bark_inner
Preview Banner,mcl_banners:banner_preview_thing_pink
Preview Banner,mcl_banners:banner_preview_flower_cyan
Mangrove Slab,mcl_stairs:slab_mangrove_top
Lodestone Compass,mcl_compass:18_lodestone
Lodestone Compass,mcl_compass:17_lodestone
Lodestone Compass,mcl_compass:16_lodestone
Preview Banner,mcl_banners:banner_preview_rhombus_pink
Preview Banner,mcl_banners:banner_preview_gradient_cyan
Lime Carpet,mcl_wool:lime_carpet
Mangrove Bark Slab,mcl_stairs:slab_mangrove_bark_double
Mangrove Sign,mcl_signs:wall_sign_mangrove
Mangrove Pressure Plate,mesecons_pressureplates:pressure_plate_mangrove_off
Preview Banner,mcl_banners:banner_preview_skull_pink
Preview Banner,mcl_banners:banner_preview_gradient_up_cyan
Purple Wool,mcl_wool:purple
of Slow Falling,mcl_potions:slow_falling_lingering
Lodestone Compass,mcl_compass:12_lodestone
Lodestone Compass,mcl_compass:11_lodestone
Preview Banner,mcl_banners:banner_preview_small_stripes_pink
Purple Carpet,mcl_wool:purple_carpet
nil,mesecons_button:button_mangrove_on
Lodestone Compass,mcl_compass:9_lodestone
of Slow Falling,mcl_potions:slow_falling_arrow
Lodestone Compass,mcl_compass:8_lodestone
Preview Banner,mcl_banners:banner_preview_square_bottom_left_pink
Cyan Wool,mcl_wool:cyan
Iron Trapdoor,mcl_doors:iron_trapdoor
Miner Pottery Sherd,mcl_pottery_sherds:miner
Prize Pottery Sherd,mcl_pottery_sherds:prize
Cyan Carpet,mcl_wool:cyan_carpet
Preview Banner,mcl_banners:banner_preview_square_bottom_right_pink
Preview Banner,mcl_banners:banner_preview_half_vertical_cyan
nil,mcl_doors:iron_trapdoor_open
Lodestone Compass,mcl_compass:5_lodestone
nil,mcl_panes:pane_orange
Iron Door,mcl_doors:iron_door
Preview Banner,mcl_banners:banner_preview_square_top_left_pink
Smithing Template,mcl_armor:tide
Preview Banner,mcl_banners:banner_preview_half_horizontal_grey
Mangrove Roots,mcl_mangrove:mangrove_roots
of the Turtle Master,mcl_potions:turtle_master_splash
Mangrove Propagule,mcl_mangrove:propagule
Preview Banner,mcl_banners:banner_preview_square_top_right_pink
End Portal,mcl_portals:portal_end
Preview Banner,mcl_banners:banner_preview_half_vertical_grey
Preview Banner,mcl_banners:banner_preview_triangles_bottom_red
Muddy Mangrove Roots,mcl_mangrove:mangrove_mud_roots
nil,mcl_mushrooms:brown_mushroom_block_cap_111000
Preview Banner,mcl_banners:banner_preview_straight_cross_pink
Salmon,mcl_buckets:bucket_salmon
Preview Banner,mcl_banners:banner_preview_half_vertical_right_grey
Compass,mcl_compass:30
Compass,mcl_compass:29
Compass,mcl_compass:28
Preview Banner,mcl_banners:banner_preview_stripe_bottom_pink
Magma Block,mcl_nether:magma
Fire Charge,mcl_fire:fire_charge
Flint and Steel,mcl_fire:flint_and_steel
Golden Hoe,mcl_farming:hoe_gold
Golden Chestplate,mcl_armor:chestplate_gold
Preview Banner,mcl_banners:banner_preview_stripe_center_pink
Golden Boots,mcl_armor:boots_gold
Preview Banner,mcl_banners:banner_preview_rhombus_grey
Tropical Fish,mcl_buckets:bucket_tropical_fish
Music Disc,mcl_jukebox:record_far
Music Disc,mcl_jukebox:record_strad
Preview Banner,mcl_banners:banner_preview_stripe_downleft_pink
Music Disc,mcl_jukebox:record_mellohi
Preview Banner,mcl_banners:banner_preview_skull_grey
Donkey,mobs_mc:donkey
Rabbit,mobs_mc:rabbit
Killer Bunny,mobs_mc:killer_bunny
Preview Banner,mcl_banners:banner_preview_stripe_downright_pink
Smithing Template,mcl_armor:eye
Preview Banner,mcl_banners:banner_preview_small_stripes_grey
Chainmail Helmet,mcl_armor:helmet_chain
Exposed Chiseled Copper,mcl_copper:block_exposed_chiseled
Cod,mcl_buckets:bucket_cod
Preview Banner,mcl_banners:banner_preview_stripe_left_pink
Mooshroom,mobs_mc:mooshroom
Chainmail Boots,mcl_armor:boots_chain
Block of Amethyst,mcl_amethyst:amethyst_block
Spider,mobs_mc:spider
Exposed Copper Grate,mcl_copper:block_exposed_grate
Vex,mobs_mc:vex
Calcite,mcl_amethyst:calcite
Preview Banner,mcl_banners:banner_preview_square_bottom_right_grey
Chainmail Leggings,mcl_armor:leggings_chain
Smithing Template,mcl_armor:silence
Compass,mcl_compass:18
Compass,mcl_compass:17
Preview Banner,mcl_banners:banner_preview_stripe_right_pink
Exposed Copper Bulb,mcl_copper:bulb_exposed_off
Preview Banner,mcl_banners:banner_preview_stripe_left_purple
Very Damaged Anvil,mcl_anvils:anvil_damage_2
Smithing Template,mcl_armor:wayfinder
Illusioner,mobs_mc:illusioner
Preview Banner,mcl_banners:banner_preview_stripe_top_pink
Smithing Template,mcl_armor:sentry
Crossbow,mcl_bows:crossbow
Preview Banner,mcl_banners:banner_preview_stripe_middle_purple
Compass,mcl_compass:14
Stray,mobs_mc:stray
Smithing Template,mcl_armor:bolt
Iron Chestplate,mcl_armor:chestplate_iron
Guardian,mobs_mc:guardian
Compass,mcl_compass:11
Preview Banner,mcl_banners:banner_preview_stripe_right_purple
Compass,mcl_compass:10
nil,mcl_copper:trapdoor_exposed_open
Exposed Copper Door,mcl_copper:door_exposed
Smithing Template,mcl_armor:flow
of Bad Luck,mcl_potions:bad_luck_lingering
Compass,mcl_compass:9
Preview Banner,mcl_banners:banner_preview_stripe_top_purple
Diamond Helmet,mcl_armor:helmet_diamond
nil,mcl_observers:observer_down_off
Netherite Helmet,mcl_armor:helmet_netherite
Music Disc,mcl_jukebox:record_wait
of Bad Luck,mcl_potions:bad_luck_arrow
Compass,mcl_compass:7
Preview Banner,mcl_banners:banner_preview_triangle_bottom_purple
Netherite Boots,mcl_armor:boots_netherite
nil,mcl_ocean:sea_pickle_4_off_dead_brain_coral_block
nil,mcl_observers:observer_on
Compass,mcl_compass:6
Netherite Chestplate,mcl_armor:chestplate_netherite
Piglin Brute,mobs_mc:piglin_brute
Preview Banner,mcl_banners:banner_preview_triangle_top_purple
Ominous Bottle,mcl_potions:ominous
Diamond Leggings,mcl_armor:leggings_diamond
